name,ratings,ratingsNumber
Gabbiani Reali,3.8,14
Pizza Italia,3.8,12
Pizza Pazzia Toto Anderlecht,3.8,10
Malaciorta,3.8,10
Faits Divers,3.8,10
Pizza Santa,3.8,5
Antichi Sapori,3.8,4
Donerix,3.7,3683
Baskent Tessenderlo,3.7,2070
King Pizza,3.7,1842
Ali Baba,3.7,1591
Pizza Aversa,3.7,1446
Domino's Pizza,3.7,1274
Mezopotamya,3.7,1116
Domino's Pizza,3.7,1102
Exprezz Pizza,3.7,1036
Saray,3.7,992
Ali Pizzahuis,3.7,971
Urban pizza,3.7,883
Pizza Phone,3.7,766
Baskent Nijlen,3.7,694
Pizza Service,3.7,549
Side Kebap,3.7,546
Il Fuoco,3.7,512
Pizzeria Di Mamma,3.7,507
Domino's Pizza,3.7,456
La Recette,3.7,444
Pizza Service,3.7,436
De Lekkerste Pizza,3.7,409
Grill Metin,3.7,371
Peppino Pazzo Haacht,3.7,343
Pizza Royale Rue de l'École,3.7,334
Domino's Pizza,3.7,305
Pizza Hut Delivery,3.7,303
Pitta Marmaris,3.7,135
New York Pizza,3.7,115
Domino's Pizza,3.7,112
Pizza Angelo,3.7,108
Pizza Hut Delivery,3.7,91
Solomio,3.7,84
Domino's Pizza,3.7,81
Solo Mio,3.7,75
Merad Restaurant,3.7,74
Pizza Family,3.7,74
Resto Simke,3.7,50
Paparazzi,3.7,38
VIVAiVINI Ristoro & Wijnbar,3.7,31
The Dinner House,3.7,29
Loons Qebap,3.7,23
Peppino Pazzo Boortmeerbeek,3.7,19
La Riviera,3.7,17
SaBa Snack,3.7,17
Snack Pizza Bodrum,3.7,15
Made in Sud,3.7,12
Monkeys,3.7,9
La Pizza Bio,3.7,8
Domino's Pizza,3.7,5
Orso Pizzeria Pop Up,3.7,3
Istanbul,3.6,3311
Kingslize Pizza,3.6,2427
Pitza Service,3.6,2289
Alo Pizza,3.6,2223
Big Bite,3.6,2181
Pitta Pizza Ludwig,3.6,1697
Snack Dodo,3.6,1641
Eethuis Florya Lommel,3.6,1507
Pita Pizza Pyramide,3.6,1245
Liya Kebab & Pizzaria,3.6,1101
Pizza Hut Delivery,3.6,1055
Domino's Pizza,3.6,970
Giovanni's,3.6,815
Eetcafé Ossendrecht,3.6,810
Villa La Dolce Vita,3.6,805
Pesto Bar,3.6,790
Pizza Delicia 3,3.6,685
Flamingo Pizza & Kebap,3.6,594
Pizza Hut Delivery,3.6,589
Snackbar Tasty,3.6,588
Pitta Can,3.6,506
Domino's Pizza,3.6,492
Mashar Pide,3.6,490
Allo Pizza,3.6,470
Domino's Pizza,3.6,422
Domino's Pizza,3.6,416
Domino's Pizza,3.6,350
Restaurant Da Vinci,3.6,343
La Rustica Pizzeria,3.6,294
Pizza Hut Delivery,3.6,256
Royale Pizza,3.6,225
Palomino,3.6,223
Ustun Kebab,3.6,197
De 3 Piramiden,3.6,163
Resto Royale,3.6,156
Verona,3.6,128
Cleopatra,3.6,111
Down-Town,3.6,110
Wow Pizza,3.6,109
Royale Pizza,3.6,107
Domino's Pizza,3.6,83
Grill Garden,3.6,74
La Ricotta,3.6,61
Vincenzo,3.6,48
Pizza American,3.6,37
Pizzeria Pepino,3.6,36
Pizza Boom,3.6,29
Otomat,3.6,16
Izmir Kebab,3.6,15
Winterput,3.6,14
Da Maurizio,3.6,8
Pizza Royal Family,3.6,8
Bonici pizza Burger,3.6,7
Domino's Pizza,3.6,6
New Maan Pizza & Wok & Burger,3.6,6
Limor Pizzeria,3.6,3
Pitza Service Beveren,3.5,1891
Pizza Pita House,3.5,1888
Resto Snack Istanbul,3.5,1809
Merdin 1,3.5,1631
Pizza Efe Hulshout,3.5,1559
Pizza Monza,3.5,1426
Pastador,3.5,1097
Pitta Snack Waarschoot,3.5,833
Adana Kebab,3.5,794
Tasty Food Vesalius,3.5,794
Domino's Pizza,3.5,712
Domino's Pizza,3.5,626
Pizza Hut Delivery,3.5,584
Pizza Hut Delivery,3.5,550
Napoli Heers,3.5,494
Pizzeria Dilan,3.5,485
Royale Pizza Delacroix,3.5,483
Pizza Talia's Concept,3.5,472
Pizza Giorno,3.5,471
Pizza Hut Delivery,3.5,409
Peppino Pazzo Kampenhout,3.5,366
Sardinië,3.5,333
Pizza Hut Delivery,3.5,327
Pizza Pitta Melissa,3.5,308
Pizza Pita Delta,3.5,275
Pizza Aversa,3.5,267
Milo II Kebap Pizza Pasta,3.5,236
Giuseppe's Forno a Legna,3.5,222
Pizza Pasta Pita Mazador,3.5,187
Solav Kebab,3.5,157
Casareccio,3.5,136
Pizza Express,3.5,96
Oliva,3.5,85
Antwerp Kebab,3.5,80
Otomat,3.5,44
Snack Centraal,3.5,41
Domino's Pizza,3.5,39
Payitaht,3.5,31
Clemente Pizza & Pasta,3.5,18
Domino's Pizza,3.5,16
Le Porto fino,3.5,9
Pizza Fresca Woluwe,3.5,8
Lommelse Kebab,3.5,4
La Trinacria,3.4,4120
Pizza Talia's Concept,3.4,3592
Pizza Palace Fastfood,3.4,1755
Domino's Pizza,3.4,1440
De Pyramide,3.4,825
Pizza Talia Original,3.4,757
Dilsu Pizza Pitta,3.4,752
Pizzeria Grillroom Dudi,3.4,750
Pizza Hut Delivery,3.4,560
Pizza Hut Delivery,3.4,478
Pizza Hut Delivery,3.4,374
Rosario,3.4,340
Centrum Kebap,3.4,317
Domino's Pizza,3.4,311
Pizza Roma Mechelen,3.4,252
Domino's Pizza,3.4,251
Domino's Pizza,3.4,232
Pizza Hut Delivery,3.4,211
Domino's Pizza,3.4,173
Pizzeria Nicoletta,3.4,155
Sultan Kebap,3.4,137
Restaurant Grecque Nammos,3.4,105
Royal Pizza,3.4,60
Friterie Houba,3.4,55
Layana Food,3.4,53
Dolce Italia,3.4,25
Le Corny,3.4,23
Al Maestro,3.4,16
Damas Veneto,3.4,4
Pizza Talia Original,3.3,7391
Domino's Pizza,3.3,2010
Pizza Hut Delivery,3.3,1595
Hasseltse Kebab,3.3,1514
Nazar Side,3.3,1131
Anatolia,3.3,1025
Pizzeria Milano,3.3,970
Efes,3.3,908
Florya Kebab & Pizzeria,3.3,829
Pizza Hut Delivery,3.3,712
Melita,3.3,690
Domino's Pizza,3.3,644
Palombino Pizzeria Napoletana,3.3,551
Saray Pizza & Kebab,3.3,528
Pizza Sara,3.3,467
Stela,3.3,455
Pizza Hut Delivery,3.3,373
Domino's Pizza,3.3,372
Pizza Ti Amo,3.3,317
The Daily,3.3,312
Only Kebab,3.3,140
Domino's Pizza,3.3,97
Domino's Pizza,3.3,67
Best Kebab,3.3,62
Pastador One,3.3,40
Otomat,3.3,39
La Casa Mia,3.3,31
Domino's Pizza,3.3,30
Pizzeria Picolina,3.3,17
TM Food Maker,3.3,10
Pizzeria Toscana,3.3,7
L'Italiano,3.3,6
Domino's Pizza,3.3,6
Liborio,3.3,4
Pizza@Home,3.2,2433
Pizzeria Taormina,3.2,1378
Huzur Pizzeria Kebab,3.2,1322
Duffelse Kebab,3.2,1141
Pizza & Pitta Home,3.2,1044
Aly Baba,3.2,623
Marmara,3.2,618
King Kebap,3.2,427
Eethuis Van Gogh,3.2,329
My Kebab,3.2,260
Pizza Hut Delivery,3.2,195
Five Slice Pizza,3.2,176
Domino's Pizza,3.2,126
Domino's Pizza,3.2,96
Ghoshto Eethuis,3.2,49
Pizza Ozy,3.2,38
Pizza Hut Delivery,3.2,29
Istanbul Eethuis,3.2,25
Bella Vista,3.2,20
Le Gourmet,3.2,9
Kebab Leuven,3.2,3
Nazar Kebap,3.1,1414
Pizzalijn Merksem,3.1,1303
King's Pizza,3.1,1070
Pita Express,3.1,877
Ali's Eethuis,3.1,805
Domino's Pizza,3.1,737
Chef Tielen,3.1,731
Pizza Aurelia,3.1,684
Pizza Verona,3.1,581
Domino's Pizza,3.1,576
Pizza Hut Delivery,3.1,546
Domino's Pizza,3.1,527
Domino's Pizza,3.1,511
Domino's Pizza,3.1,507
Huzur Pizzeria Kebab,3.1,488
Domino's Pizza,3.1,439
Domino's Pizza,3.1,389
Adel Eethuis,3.1,336
Pizza Hut Delivery,3.1,186
Domino's Pizza,3.1,145
Domino's Pizza,3.1,70
Pronto Salvatore,3.1,31
La Casa De Schutter,3.1,29
Sultan Kebap Geel,3.1,21
Snack Overpoort,3.1,16
New Délice,3.1,13
Della Cassa,3.1,7
Pizzeria Saint-Pierre,3.1,3
Pizzeria Vosselaar,3.0,2343
De Nijl 1,3.0,1335
't Hoekske,3.0,705
Pizza Hut Delivery Brugge Sint-Kruis,3.0,544
Pizza Hut Delivery,3.0,217
Baracca,3.0,205
Da Barone et Fils,3.0,139
Sali Kebap,3.0,81
Pizza Kebab Istanbul,3.0,35
La Torre,3.0,19
La Familia da Aldo,3.0,4
Domino's Pizza,3.0,4
Snack Maya,3.0,4
Amore & Fantasia,3.0,3
Domino's Pizza,2.9,2418
Dennis Kebap,2.9,857
Domino's Pizza,2.9,435
Loco Pizza 2,2.9,217
Gok 2 - Turkse keuken,2.9,177
Sint-Antonius,2.9,103
Pizza Hut Delivery,2.9,66
Kaai Pizzeria,2.9,27
Domino's Pizza,2.8,1311
Pitta Point,2.8,992
Five Slice Pizza,2.8,702
Domino's Pizza,2.8,214
Mia Pizza,2.8,96
Konak Pizzeria Doner Kebab,2.8,84
Rosario,2.8,40
Gustoso Pizza,2.8,4
Pizza Hut Delivery,2.7,422
Domino's Pizza,2.7,421
Don Sako,2.7,208
Otomat,2.7,182
Antwerp Pizza - Pasta - Kebab,2.7,7
Pizza Roma,2.6,1132
Domino's Pizza,2.6,648
Pizza Service,2.6,324
Domino's Pizza,2.6,162
Domino's Pizza,2.6,91
Pasta Burger Family,2.6,23
Pitta Melita,2.6,10
Pizza Sole Mio,2.5,2255
New York Pizza,2.4,544
Pizza Pasta Kiel,2.3,3
Loco Pizza,2.2,546
Turkische Food,2.2,25
Pizza Hut Delivery,2.1,566
Kaya Pitta,2.1,5
El Karam,2.0,19
Pizza Hut Delivery,1.9,6
Pizza Company,1.7,881
Everest Quick Food,1.7,167
Time Break,0.0,0
Pizzeria Les 4 Frères,0.0,0
Gioia Pizza,0.0,0
Khanna,0.0,0
Pizza & Pasta Ino,0.0,0
Snack Marmara,0.0,0
Pizza&Go,0.0,0
Fiammetta,0.0,0
Tujo,0.0,0
Serenata,0.0,0
Taverne Jack,0.0,0
A'Mare Mio Ristorante Pizzeria,0.0,0
Yum Smaak,0.0,0
D'Angelo,0.0,0
Pizza Alep,0.0,0
Bella Vita,0.0,0
La Molisana,0.0,0
Pizza Deliorman,0.0,0
Zam Zam Halal Indian,0.0,0
Chez Yolo,0.0,0
Vera Italia,0.0,0
Restaurant San Donato,0.0,0
Mmmh La Pizza by Fasty Food,0.0,0
Pizzeria Italia,0.0,0
Brasserie Leopold,0.0,0
Otomat,0.0,0
King Pizza,0.0,0
D'Anvers Events,0.0,0
La Rose,0.0,0
Il Artigiano,0.0,0
Zola,0.0,0
QA Android & iOS restaurant,0.0,0
Il Goloso,0.0,0
Londen Bakkerij,0.0,0
What the Kebab,0.0,0
Pita Vogelmarkt,0.0,0
Mio Pasta,0.0,0
Dunya Döner,0.0,0
Dam Dam Pizza,0.0,0
Domino's Pizza,0.0,0
FiberApps API Test,0.0,0
Scoober Test Restaurant Ghent,0.0,0
Ristorante la Famiglia,0.0,0
Milano Simonis,0.0,0
Pizza Eight,0.0,0
Pizzeria Houba,0.0,0
Pizza Horako,0.0,0
Benvenuto,0.0,0
Mister Grill & Buffet's & Il Signore,0.0,0
#JAMIEZ.8000,0.0,0
In 't Vrije,0.0,0
Sole D' Sud,0.0,0
Traiteur Sandro,0.0,0
Pizzeria d'Alessio,0.0,0
Food Trip,0.0,0
Gigi,0.0,0
Hawin Bakkerij Gent,0.0,0
Pizzeria Pulcinella,0.0,0
La Calzoneria,0.0,0
Pizzeria Da Toto,0.0,0
Pizzeria d'Alessio,0.0,0
Snack Muide,0.0,0
De Nacht Wacht - Dranken & Snacks,0.0,0
Mio Pasta Leuven,0.0,0
Connect24-7 API Testshop,0.0,0
Neon-nightdelivery.be,0.0,0
