city,num_restaurants
Rhode-Saint-Genèse,1
Riemst,3
Rijkevorsel,2
Rijmenam,2
Rillaar,1
Rixensart,2
Roccourt,1
Rocourt,1
Roeselare,18
Ronse,5
Roosdaal,1
Roosendaal,1
Rotselaar,1
Ruisbroek,2
Ruislede,1
Rumst,3
Rupelmonde,1
Saint Josse Ten Noode,2
Saint-Gilles,29
Saint-Josse-Ten-Noode,7
Saint-Josse-ten-Noode,16
Saint-Nicolas,1
Saint-Trond,1
Saint-josse-ten-noode,1
Saintes,1
Schaarbeek,3
Schaerbeek,110
Schaffen-Diest,1
Schepdaal,2
Scherpenheuvel,1
Scherpenheuvel-Zichem,3
Schilde,7
Schoten,10
Sinaai,1
Sint Josse Ten Noode,1
Sint Michiels,1
Sint Niklaas,1
Sint pieters woluwe,1
Sint- Andries,1
Sint-Amands,1
Sint-Amandsberg,8
Sint-Andries,2
Sint-Eloois-Winkel,1
Sint-Gilles,1
Sint-Gillis-Waas,4
Sint-Jans-Moleenbeek,1
Sint-Job-In-'t-Goor (Brecht),1
Sint-Joost-ten-Node,1
Sint-Josse-Ten-Noode,1
Sint-Josse-ten-Noode,1
Sint-Katelijne-Waver,5
Sint-Kruis,1
Sint-Kwintens-Lennik,1
Sint-Lambrechts-Woluwe,2
Sint-Lievens-Houtem,3
Sint-Michiels,1
Sint-Niklaas,39
Sint-Pauwels,1
Sint-Pieters-Leeuw,3
Sint-Pieters-Woluwe,1
Sint-Stevens-Woluwe,1
Sint-Truiden,11
Sittard,2
Sleidinge,2
Sluis,1
Spiere-Helkijn,2
St-Niklaas,1
Stabroek,4
Staden,1
Steenhuffel,1
Steenokkerzeel,1
Stekene,2
Strombeek,1
Strombeek-Bever,5
Temse,7
Termonde,1
Ternat,1
Tervuren,2
Tessenderlo,4
Testelt,1
Tielen,1
Tielt,8
Tienen,8
Tongeren,6
Torhout,2
Tournai,1
Tremelo,3
Tubeke,1
Tubize,11
Turnhout,20
Uccle,51
Ukkel,2
Valkenswaard,1
Veurne,1
Vilvoorde,21
Vilvorde,17
Virginal,1
Vise,1
Vissenaken,1
Visé,7
Vorst,1
Vosselaar,3
Vrasene,1
Waarloos,2
Waarschoot,1
Waasmunster,1
Wachtebeke,5
Waregem,13
Waremme,6
Waterloo,23
Watermael-Boitsfort,3
Wauthier Braine,1
Wauthier-Braine,1
Wavre,18
Weelde,1
Wellen,1
Wemmel,6
Wenduine,1
Wervick-Sud,1
Wervik,2
Westende,1
Westerlo,5
