name,address,avg_price,ratings
Osteria Michele,Tiensestraat 23,22.176136363636363,3.3
Otomat,Tiensestraat 33,13.11875,4.3
Palmyra,Parijsstraat 84,15.113432835820896,4.4
Past-A-Porter,Parijsstraat 8,6.125,4.5
Pasta Ruffo,Tiensestraat 48,11.76969696969697,4.3
Piano A,Ravenstraat 38,13.372727272727273,4.2
Piccolo,Bondgenotenlaan 89,4.566666666666666,4.7
Pitaya,Rector de Somerplein 16,6.680487804878048,3.9
Pizza American,Tiensestraat 107,9.128173076923076,3.6
Pizza Hut Delivery,Tervuursevest 10/A,17.34494382022472,3.3
Pizza Pirkan,Diestsesteenweg 130,10.34731182795699,4.0
Pizza Service,Diestsesteenweg 68,14.128041237113402,3.7
Pizza Sole Mio,Kortestraat 5,12.3932,2.5
Pizza Ti Amo,Kapucijnenvoer 195,9.570980392156862,3.3
Potala Momo,Drie Engelenberg 4,5.1066666666666665,4.4
Poule & Poulette,Tiensestraat 15,7.962745098039216,3.7
Punto Caffè,Brusselsestraat 33,5.913043478260869,5.0
Quetzal De Chocoladebar,Alfons Smetsplein 3F,18.583333333333332,4.8
Quo Vadis,Muntstraat 11,16.875,3.9
Rotis,Wieringstraat 2,7.118181818181818,4.6
Ruba Healthy & Fresh Food,Tiensestraat 71,6.590000000000001,4.2
Sahtain,Louis Melsensstraat 5,4.238095238095238,4.8
Saki Sushi,Naamsestraat 43,14.32104,3.9
Sapori Del Sud,Diestsesteenweg 182,16.41904761904762,4.2
Sewar Snack-Resto,Diestsestraat 259,8.448924731182796,3.4
Soroki - Sushi & Wok,Koetsweg 200,8.886538461538462,4.1
Stuffed,Vital Decosterstraat 16,5.545698924731183,4.4
Subway,Rector De Somerplein 6,6.521269841269841,3.7
Sushi Hungry Eye,Naamsestraat 28,11.079213483146066,3.1
Sushi Leuven,Tiensestraat 28,11.686857142857143,3.9
Sushi Mama,Kapucijnenvoer 193,10.161832061068703,4.6
T'More Enjoy,Schrijnmakersstraat 31,5.245454545454545,4.6
Tabi Loo,Naamsestraat 29,7.292307692307692,4.7
Taj Mahal,Muntstraat 10B,13.875,3.8
Tandoori Masala Indian Nepali Restaurant,Muntstraat 22,16.766666666666666,3.9
Taste of Asia,Brusselsestraat 42b,16.910416666666666,4.5
Tasty Food Vesalius,Andreas Vesaliusstraat 7,8.305,3.5
Taverne Fonske,Rector de Somerplein 13,12.102941176470589,4.6
Thai House,Alfons Smetsplein 11,7.470454545454545,4.1
Thai Time,Tiensestraat 135,12.916666666666666,4.7
The Bake Off Pastabar,Diestsestraat 152,7.3516666666666675,4.5
The Daily,Bondgenotenlaan 91,5.65728,3.4
The Fonteintje,Fonteinstraat 123,9.455670103092784,4.5
The Rolling Dogs,Vital Decosterstraat 20/ 01,5.657894736842105,4.3
The Sandwich Factory,Naamsestraat 86,4.827862595419847,4.8
The Vexican,Alfons Smetsplein 3/3,10.777777777777779,4.7
Tian Tan,Lei 3,11.477777777777778,4.2
Tikka Masala House,Tiensestraat 65,10.086524822695036,3.8
Timory,Brusselsestraat 76,15.269444444444444,4.2
Wabi Sabi,Muntstraat 10,16.4512987012987,3.7
Wasbar,Tiensestraat 7,8.351,3.9
Wiseguys,Tiensestraat 130,8.192307692307692,4.1
Wok & Momo House,Parijsstraat 65-67,12.867500000000001,4.5
Wolfgang,Tiensestraat 82,11.0,4.1
Würst,Margarethaplein 1,7.651282051282051,4.2
Xiongmao Panda,Naamsestraat 178,12.335576923076925,4.5
Yammi Yammi Ramen,Oude Markt 54,9.39,4.2
Yamy Food,Brusselsestraat 90,5.440298507462686,4.2
You Sushi,Muntstraat 7,16.314685314685313,4.3
l'Italiano,Leopold Vanderkelenstraat 26,20.833333333333332,3.5
