name,latitude,longitude
Starbucks ©,50.84276,4.382156
Manhattan Sushi,50.8457285,4.3882042
Kaza,50.8762053,4.3788859
Le Prince Downtown,50.8487352,4.3531698
La Cité Du Dragon,50.800436,4.3746755
Chikyy,50.8361031,4.3709083
Meli Mely,50.8554279,4.3995761
Starbucks ©,50.8602797,4.3610623
Wingsstreet,50.8575766,4.3848051
Snack La Couronne,50.8297666,4.3786763
L'Atelier à Pizza,50.8752315,4.389446
KFC,50.8551088,4.3578964
Sushi World,50.8497791,4.3670471
Starbucks ©,50.8373976,4.4098591
Einab Syrian Sweets,50.8473113,4.3534435
Yann Culinary,50.845223,4.3839638
Snack Emirdag,50.8617171,4.3676555
Le Mezze - Chez Firas,50.8499175,4.3797687
Time Break,50.8485946,4.4015061
Met Jeaninne,50.836394,4.3873093
Corner Churros,50.84942,4.3836746
Caléo Café,50.8358051,4.3660869
Nawab Restaurant - Indiani Pakistani,50.8443336,4.3835191
The Public House 12,50.8380893,4.3681528
Chez Bibo,50.8584814,4.3744582
Tonton Chami,50.8496011,4.3737382
Snack Nador,50.8526721,4.3511538
O'Cheese Burger,50.8528502,4.3744347
Aragon,50.8470511,4.3905735
Hawaiian Poke Bowl,50.8479641,4.3570805
Starbucks ©,50.85535,4.359308
Shaky Burger,50.8526851,4.3783707
Oakberry,50.8400834,4.3820352
Pizza Liloo,50.8327665,4.3867319
Onder Pide,50.8582148,4.374166
Sushi House Ixelles,50.816666,4.391925
Bombay inn,50.8486769,4.3533476
Asya Pizzeria,50.8529898,4.3733986
Snack Aladdin,50.8330455,4.3740091
La Riviera,50.8445235,4.3844286
Al Carso,50.8435613,4.41091
La Plume,50.8557255,4.3685833
New Saigon Bangkok,50.8485676,4.3757999
Snack Sympa,50.8365798,4.3661102
Ristorante Pizzeria Napoli,50.8542273,4.3884612
Ciao Ciao Pizzeria,50.8731265,4.3771332
Miyako,50.8376348,4.3866768
Star of Asia,50.8380471,4.3724794
Il Girasole,50.8595982,4.414599
Il Veliero,50.8365436,4.3825068
Shezan,50.8365056,4.367369
L'Orchidée Rose,50.8484318,4.3472968
Atlasresto,50.8595094,4.3623686
Mumtaz,50.8369908,4.365068
Konya,50.8551593,4.3688113
Rio Sushi,50.8439714,4.4126003
Yama Sushi,50.8446072,4.4162828
La Sardegna,50.8482825,4.3739435
Le Paradis du Liban,50.8389983,4.3980574
Pizzeria Istanbul,50.8665692,4.3758645
Tom Yam,50.8186021,4.38383
Turkuaz Kebap,50.8493196,4.3741259
Hanedan Kebap & Pizzeria,50.8570929,4.3692621
Poule & Poulette,50.8375441,4.380693
Baraka't Kacem,50.8485461,4.3648236
TopoGigio,50.8492029,4.3892687
Pyramides,50.8627382,4.3651691
Le Bol de Riz,50.8363823,4.3803976
PhoPho,50.8555002,4.3565052
Tekince Kebap,50.8634253,4.3664397
The Purple Rose,50.8464893,4.354195
Green'Go Burger,50.8495267,4.3711647
Kitchen 151 Brussels,50.8354636,4.3694367
Pizzeria Les 4 Frères,50.8488847,4.3701291
La Ruota,50.8522368,4.3865518
O'Tacos,50.8611178,4.3673348
China Express,50.8294155,4.3698605
Pizzeria Koçak,50.8587785,4.3702574
Jai Ho,50.8541899,4.3539686
Zaline,50.8509845,4.3817889
Al Solito Posto,50.8489774,4.3655629
New Annapurna,50.8519401,4.3507374
Gatsu Gatsu,50.8464672,4.3542404
Cuisine Spéciale,50.8484236,4.424885
Bagel Corner,50.8397656,4.373372
Snack L'Étang,50.8346899,4.3828158
Sushiya,50.8596481,4.416408
Indian Royal Fast Food,50.8554443,4.3567264
Banh Mi Express,50.841555,4.383338
Yummy Bowl,50.8453778,4.3532341
Il Colosseo,50.8539322,4.3538156
Pizza King,50.8530623,4.3745241
Snack Georges Henri,50.8437401,4.4126857
Enka,50.8503179,4.3675059
Snack Felix,50.8508108,4.3919207
Le Standby,50.8395634,4.361052
Dea's Pizza,50.8297941,4.3796393
Chez Sun Wok Sushi Teppanyaki,50.8307369,4.3893413
My Madou,50.849019,4.370338
From BE for You,50.8444327,4.3527831
Kroket,50.8386572,4.3705887
Sushi Me,50.8336806,4.3738239
La Pizza Bio,50.8424447,4.407201
Al Colosseo,50.8283851,4.3318564
Five Guys,50.854536,4.3579242
Da Mario,50.8527395,4.3906603
Koala,50.8520143,4.3653412
Délices Agbalo,50.8583853,4.3544394
Allo Beyrouth,50.8702946,4.3716764
Kebap Center,50.8534188,4.355763
Why Not,50.8421307,4.3518212
Indian Royal Spicy,50.8396664,4.3836209
Beyranet,50.8578274,4.3697417
Lucy Sushi,50.8571356,4.3588862
Cocorico,50.8497639,4.3775544
Stick that Meat,50.8405097,4.3788394
The Food Box Brussels,50.8491299,4.3518465
Gaby's Sandwiches,50.8448002,4.3955768
Louisiana Grill Gourmet,50.8532027,4.3513426
Daily Pâtes,50.8646372,4.3776722
Grillade Rubens,50.8326438,4.403117
Donki's Wings,50.8373332,4.3818125
Tekince Döner,50.8635753,4.3663657
Joe La Frite,50.8396886,4.3413976
Trattoria al Dente,50.8393684,4.3672455
Keufte,50.8279567,4.3744168
Pizzeria Saint-Pierre,50.8367326,4.3958897
Miracle,50.8306611,4.3904781
TIP TOP Burger,50.8607351,4.3401049
Pizzeria Modugno,50.845257,4.3981654
Gabbiani Reali,50.8454731,4.3533169
J'm Sushi,50.8448997,4.3581106
Thaï Chiangmai,50.8359339,4.3710542
Deli Liban,50.8432981,4.409813
Pizza Boom,50.8547888,4.3967983
Madina food,50.856793,4.3752124
Maki Maki,50.8277003,4.3746044
Tonton Chami,50.8371524,4.3642835
Love Ciabatta,50.8431461,4.3586131
Live Central Park,50.8609159,4.384407
Le Rosmarino,50.8560184,4.368485
Bella Ciaoo,50.8716439,4.4016108
Jardin Asiatique,50.8566804,4.3894082
Better Than Hungry,50.8493041,4.3677835
Foodminute,50.8362355,4.3706359
Sel et Miel,50.8645165,4.3591525
Pizzeria Istanbul,50.8291519,4.3728027
Restaurant le Royal,50.849752,4.3780041
Sofram Levent Börek,50.8587167,4.3701779
Öztürk Grill Charbon,50.8530809,4.3733034
Foodmaker,50.8559177,4.359871
Bowls.be,50.860099,4.3551554
Snack Au Petit Creux,50.8518175,4.3850787
Restaurant Ô Choix,50.8572287,4.3504045
Otomat,50.8394746,4.3999053
Break Point,50.8466278,4.359411
Restaurant King Hwa,50.844656,4.3840211
Foodmaker,50.8444875,4.3594405
Le Gourmet,50.8550672,4.3676808
Art's & Bagels,50.8436843,4.3754751
Dunkin' Donuts,50.8375935,4.3622942
O Sole Mio,50.8587404,4.3548777
OSaisons,50.8599658,4.3694177
Feta & Oregano,50.8191601,4.3692287
Chaba Thai,50.8434248,4.3751083
Terracotta Pizze & Tapas,50.8366645,4.3887004
Ô Sénégal VIP,50.8365547,4.3671679
Gioia Pizza,50.8399803,4.4004911
Tekince Cigkofte,50.8634626,4.3664416
