delivery_area,avg_veg_pct,total_restaurants
Minderhout,0.10304630874992926,6
Meer,0.10165874083327271,7
Wortel,0.088113219288333,9
Deurle,0.08205937484271482,21
Poeke,0.0808209910360448,9
Lotenhulle,0.0808209910360448,9
Aalter,0.0808209910360448,9
Zwijnaarde,0.07651371284285176,136
Ghent,0.07557337158317694,373
Schelderode,0.07446207601149112,188
Lemberge,0.07446207601149112,188
Bottelare,0.07446207601149112,188
Merelbeke,0.07404720433748374,197
Munte,0.07397875777357672,188
Melsen,0.07397875777357672,188
Moerkerke,0.07362637452278901,19
Lapscheure,0.07362637452278901,19
Hoeke,0.07362637452278901,19
Vinderhoute,0.073521803587967,35
Damme,0.07328654999381634,20
Hoogstraten,0.07324077122738674,11
Destelbergen,0.07222324364854359,282
Nazareth,0.07061557390277354,25
Eke,0.07061557390277354,25
Heusden,0.07047575308826573,241
Sint-Martens-Latem,0.07036599778849568,32
Vurste,0.07014407587295804,16
Asper,0.07014407587295804,16
Vosselare,0.06932278392736031,15
Poesele,0.06932278392736031,15
Merendree,0.06932278392736031,15
Landegem,0.06932278392736031,15
Hansbeke,0.06932278392736031,15
Gavere,0.06871113850884242,17
Wingene,0.06839926452311285,10
Semmerzake,0.06736249157791009,17
Dikkelvenne,0.06736249157791009,17
Baaigem,0.06736249157791009,17
Korbeek-Dijle,0.06658208129598209,51
Schuiferskapelle,0.06564635398748885,12
Kanegem,0.06564635398748885,12
Aarsele,0.06564635398748885,12
Niel-bij-As,0.06521539434816434,15
Bertem,0.0648192687817516,53
Ruiselede,0.06460612282373893,10
Kruiskerke,0.06460612282373893,10
Doomkerke,0.06460612282373893,10
Pittem,0.06377097982582823,13
Egem,0.06377097982582823,13
Zwevezele,0.06361278879338104,11
Zevergem,0.06333866856877053,30
De Pinte,0.06333866856877053,30
Hertsberge,0.06290847236841232,78
Oostkamp,0.0628152710289254,79
Leuven,0.06279763427235725,213
Koolskamp,0.06266635258146466,9
Ruddervoorde,0.06250778146160715,79
Bredene,0.062272226196811296,79
Waardamme,0.06211216259159698,79
Bellem,0.061989050376147145,5
Holven,0.06113599060931775,30
Geel,0.06113599060931775,30
Winkelomheide,0.06113599060931774,30
Ten Aard,0.06113599060931774,30
Punt,0.06113599060931774,30
Oosterlo,0.06113599060931774,30
Larum,0.06113599060931774,30
Elsum,0.06113599060931774,30
Bel,0.06113599060931774,30
Zutendaal,0.06103192670258612,27
Gontrode,0.060818092477888094,94
Bruges,0.060735602057482393,131
Stokkem,0.06057427538631763,23
Rotem,0.06057427538631763,23
Elen,0.06057427538631763,23
Dilsen,0.06057427538631763,23
Lovendegem,0.06031623962154619,24
Melle,0.060074399003938676,99
Herent,0.06007153069821245,172
Winksele,0.05979475754564707,184
Evergem,0.05971313787490596,51
Sleidinge,0.0597073240653329,51
